id,url,route,content_family,cluster,subcluster,primary_entity,primary_keyword,search_intent,proposed_h1,canonical_url,parent_hub,schema_types,blueprint,priority,priority_score,quality_threshold,lifecycle_state,publish_approved,indexable
url-candidate-0011,https://www.mcpserver.in/categories/observability/,/categories/observability/,category-hub,observability,observability,Observability,Observability MCP servers,navigation,Observability MCP Servers and Guides,https://www.mcpserver.in/categories/observability/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0012,https://www.mcpserver.in/categories/analytics/,/categories/analytics/,category-hub,analytics,analytics,Analytics,Analytics MCP servers,navigation,Analytics MCP Servers and Guides,https://www.mcpserver.in/categories/analytics/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0013,https://www.mcpserver.in/categories/finance/,/categories/finance/,category-hub,finance,finance,Finance,Finance MCP servers,navigation,Finance MCP Servers and Guides,https://www.mcpserver.in/categories/finance/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0014,https://www.mcpserver.in/categories/payments/,/categories/payments/,category-hub,payments,payments,Payments,Payments MCP servers,navigation,Payments MCP Servers and Guides,https://www.mcpserver.in/categories/payments/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0015,https://www.mcpserver.in/categories/ecommerce/,/categories/ecommerce/,category-hub,ecommerce,ecommerce,Ecommerce,Ecommerce MCP servers,navigation,Ecommerce MCP Servers and Guides,https://www.mcpserver.in/categories/ecommerce/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0016,https://www.mcpserver.in/categories/crm/,/categories/crm/,category-hub,crm,crm,CRM,CRM MCP servers,navigation,CRM MCP Servers and Guides,https://www.mcpserver.in/categories/crm/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0017,https://www.mcpserver.in/categories/support/,/categories/support/,category-hub,support,support,Support,Support MCP servers,navigation,Support MCP Servers and Guides,https://www.mcpserver.in/categories/support/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0018,https://www.mcpserver.in/categories/erp/,/categories/erp/,category-hub,erp,erp,ERP,ERP MCP servers,navigation,ERP MCP Servers and Guides,https://www.mcpserver.in/categories/erp/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0019,https://www.mcpserver.in/categories/marketing/,/categories/marketing/,category-hub,marketing,marketing,Marketing,Marketing MCP servers,navigation,Marketing MCP Servers and Guides,https://www.mcpserver.in/categories/marketing/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0020,https://www.mcpserver.in/categories/storage/,/categories/storage/,category-hub,storage,storage,Storage,Storage MCP servers,navigation,Storage MCP Servers and Guides,https://www.mcpserver.in/categories/storage/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0021,https://www.mcpserver.in/categories/file-systems/,/categories/file-systems/,category-hub,file-systems,file-systems,File Systems,File Systems MCP servers,navigation,File Systems MCP Servers and Guides,https://www.mcpserver.in/categories/file-systems/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0022,https://www.mcpserver.in/categories/browser-automation/,/categories/browser-automation/,category-hub,browser-automation,browser-automation,Browser Automation,Browser Automation MCP servers,navigation,Browser Automation MCP Servers and Guides,https://www.mcpserver.in/categories/browser-automation/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0023,https://www.mcpserver.in/categories/knowledge-management/,/categories/knowledge-management/,category-hub,knowledge-management,knowledge-management,Knowledge Management,Knowledge Management MCP servers,navigation,Knowledge Management MCP Servers and Guides,https://www.mcpserver.in/categories/knowledge-management/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0024,https://www.mcpserver.in/categories/search/,/categories/search/,category-hub,search,search,Search,Search MCP servers,navigation,Search MCP Servers and Guides,https://www.mcpserver.in/categories/search/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0025,https://www.mcpserver.in/categories/ai-ml/,/categories/ai-ml/,category-hub,ai-ml,ai-ml,Ai Ml,Ai Ml MCP servers,navigation,Ai Ml MCP Servers and Guides,https://www.mcpserver.in/categories/ai-ml/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0026,https://www.mcpserver.in/categories/data-engineering/,/categories/data-engineering/,category-hub,data-engineering,data-engineering,Data Engineering,Data Engineering MCP servers,navigation,Data Engineering MCP Servers and Guides,https://www.mcpserver.in/categories/data-engineering/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0027,https://www.mcpserver.in/categories/devops/,/categories/devops/,category-hub,devops,devops,Devops,Devops MCP servers,navigation,Devops MCP Servers and Guides,https://www.mcpserver.in/categories/devops/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0028,https://www.mcpserver.in/categories/infrastructure/,/categories/infrastructure/,category-hub,infrastructure,infrastructure,Infrastructure,Infrastructure MCP servers,navigation,Infrastructure MCP Servers and Guides,https://www.mcpserver.in/categories/infrastructure/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0029,https://www.mcpserver.in/categories/monitoring/,/categories/monitoring/,category-hub,monitoring,monitoring,Monitoring,Monitoring MCP servers,navigation,Monitoring MCP Servers and Guides,https://www.mcpserver.in/categories/monitoring/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0030,https://www.mcpserver.in/categories/testing/,/categories/testing/,category-hub,testing,testing,Testing,Testing MCP servers,navigation,Testing MCP Servers and Guides,https://www.mcpserver.in/categories/testing/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0031,https://www.mcpserver.in/categories/documentation/,/categories/documentation/,category-hub,documentation,documentation,Documentation,Documentation MCP servers,navigation,Documentation MCP Servers and Guides,https://www.mcpserver.in/categories/documentation/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0032,https://www.mcpserver.in/categories/design/,/categories/design/,category-hub,design,design,Design,Design MCP servers,navigation,Design MCP Servers and Guides,https://www.mcpserver.in/categories/design/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0033,https://www.mcpserver.in/categories/automation/,/categories/automation/,category-hub,automation,automation,Automation,Automation MCP servers,navigation,Automation MCP Servers and Guides,https://www.mcpserver.in/categories/automation/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0034,https://www.mcpserver.in/categories/workflow/,/categories/workflow/,category-hub,workflow,workflow,Workflow,Workflow MCP servers,navigation,Workflow MCP Servers and Guides,https://www.mcpserver.in/categories/workflow/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0035,https://www.mcpserver.in/categories/registry/,/categories/registry/,category-hub,registry,registry,Registry,Registry MCP servers,navigation,Registry MCP Servers and Guides,https://www.mcpserver.in/categories/registry/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0036,https://www.mcpserver.in/categories/governance/,/categories/governance/,category-hub,governance,governance,Governance,Governance MCP servers,navigation,Governance MCP Servers and Guides,https://www.mcpserver.in/categories/governance/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0037,https://www.mcpserver.in/categories/enterprise/,/categories/enterprise/,category-hub,enterprise,enterprise,Enterprise,Enterprise MCP servers,navigation,Enterprise MCP Servers and Guides,https://www.mcpserver.in/categories/enterprise/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0038,https://www.mcpserver.in/categories/compliance/,/categories/compliance/,category-hub,compliance,compliance,Compliance,Compliance MCP servers,navigation,Compliance MCP Servers and Guides,https://www.mcpserver.in/categories/compliance/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0039,https://www.mcpserver.in/categories/india/,/categories/india/,category-hub,india,india,India,India MCP servers,navigation,India MCP Servers and Guides,https://www.mcpserver.in/categories/india/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0040,https://www.mcpserver.in/categories/education/,/categories/education/,category-hub,education,education,Education,Education MCP servers,navigation,Education MCP Servers and Guides,https://www.mcpserver.in/categories/education/,https://www.mcpserver.in/mcp-server-directory/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0041,https://www.mcpserver.in/categories/developer-tools-servers/,/categories/developer-tools-servers/,category-hub,developer-tools,servers,Developer Tools Servers,Developer Tools servers MCP,navigation,Developer Tools Servers MCP Hub,https://www.mcpserver.in/categories/developer-tools-servers/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0042,https://www.mcpserver.in/categories/developer-tools-integrations/,/categories/developer-tools-integrations/,category-hub,developer-tools,integrations,Developer Tools Integrations,Developer Tools integrations MCP,navigation,Developer Tools Integrations MCP Hub,https://www.mcpserver.in/categories/developer-tools-integrations/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0043,https://www.mcpserver.in/categories/developer-tools-tutorials/,/categories/developer-tools-tutorials/,category-hub,developer-tools,tutorials,Developer Tools Tutorials,Developer Tools tutorials MCP,navigation,Developer Tools Tutorials MCP Hub,https://www.mcpserver.in/categories/developer-tools-tutorials/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0044,https://www.mcpserver.in/categories/developer-tools-security/,/categories/developer-tools-security/,category-hub,developer-tools,security,Developer Tools Security,Developer Tools security MCP,navigation,Developer Tools Security MCP Hub,https://www.mcpserver.in/categories/developer-tools-security/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0045,https://www.mcpserver.in/categories/developer-tools-deployment/,/categories/developer-tools-deployment/,category-hub,developer-tools,deployment,Developer Tools Deployment,Developer Tools deployment MCP,navigation,Developer Tools Deployment MCP Hub,https://www.mcpserver.in/categories/developer-tools-deployment/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0046,https://www.mcpserver.in/categories/developer-tools-troubleshooting/,/categories/developer-tools-troubleshooting/,category-hub,developer-tools,troubleshooting,Developer Tools Troubleshooting,Developer Tools troubleshooting MCP,navigation,Developer Tools Troubleshooting MCP Hub,https://www.mcpserver.in/categories/developer-tools-troubleshooting/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0047,https://www.mcpserver.in/categories/developer-tools-templates/,/categories/developer-tools-templates/,category-hub,developer-tools,templates,Developer Tools Templates,Developer Tools templates MCP,navigation,Developer Tools Templates MCP Hub,https://www.mcpserver.in/categories/developer-tools-templates/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0048,https://www.mcpserver.in/categories/developer-tools-examples/,/categories/developer-tools-examples/,category-hub,developer-tools,examples,Developer Tools Examples,Developer Tools examples MCP,navigation,Developer Tools Examples MCP Hub,https://www.mcpserver.in/categories/developer-tools-examples/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0049,https://www.mcpserver.in/categories/developer-tools-comparisons/,/categories/developer-tools-comparisons/,category-hub,developer-tools,comparisons,Developer Tools Comparisons,Developer Tools comparisons MCP,navigation,Developer Tools Comparisons MCP Hub,https://www.mcpserver.in/categories/developer-tools-comparisons/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0050,https://www.mcpserver.in/categories/developer-tools-clients/,/categories/developer-tools-clients/,category-hub,developer-tools,clients,Developer Tools Clients,Developer Tools clients MCP,navigation,Developer Tools Clients MCP Hub,https://www.mcpserver.in/categories/developer-tools-clients/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P1,80,94,candidate,false,false
url-candidate-0051,https://www.mcpserver.in/categories/developer-tools-sdk/,/categories/developer-tools-sdk/,category-hub,developer-tools,sdk,Developer Tools SDK,Developer Tools sdk MCP,navigation,Developer Tools SDK MCP Hub,https://www.mcpserver.in/categories/developer-tools-sdk/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0052,https://www.mcpserver.in/categories/developer-tools-registry/,/categories/developer-tools-registry/,category-hub,developer-tools,registry,Developer Tools Registry,Developer Tools registry MCP,navigation,Developer Tools Registry MCP Hub,https://www.mcpserver.in/categories/developer-tools-registry/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0053,https://www.mcpserver.in/categories/developer-tools-enterprise/,/categories/developer-tools-enterprise/,category-hub,developer-tools,enterprise,Developer Tools Enterprise,Developer Tools enterprise MCP,navigation,Developer Tools Enterprise MCP Hub,https://www.mcpserver.in/categories/developer-tools-enterprise/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0054,https://www.mcpserver.in/categories/developer-tools-benchmarks/,/categories/developer-tools-benchmarks/,category-hub,developer-tools,benchmarks,Developer Tools Benchmarks,Developer Tools benchmarks MCP,navigation,Developer Tools Benchmarks MCP Hub,https://www.mcpserver.in/categories/developer-tools-benchmarks/,https://www.mcpserver.in/categories/developer-tools/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0055,https://www.mcpserver.in/categories/databases-servers/,/categories/databases-servers/,category-hub,databases,servers,Databases Servers,Databases servers MCP,navigation,Databases Servers MCP Hub,https://www.mcpserver.in/categories/databases-servers/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0056,https://www.mcpserver.in/categories/databases-integrations/,/categories/databases-integrations/,category-hub,databases,integrations,Databases Integrations,Databases integrations MCP,navigation,Databases Integrations MCP Hub,https://www.mcpserver.in/categories/databases-integrations/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0057,https://www.mcpserver.in/categories/databases-tutorials/,/categories/databases-tutorials/,category-hub,databases,tutorials,Databases Tutorials,Databases tutorials MCP,navigation,Databases Tutorials MCP Hub,https://www.mcpserver.in/categories/databases-tutorials/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0058,https://www.mcpserver.in/categories/databases-security/,/categories/databases-security/,category-hub,databases,security,Databases Security,Databases security MCP,navigation,Databases Security MCP Hub,https://www.mcpserver.in/categories/databases-security/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0059,https://www.mcpserver.in/categories/databases-deployment/,/categories/databases-deployment/,category-hub,databases,deployment,Databases Deployment,Databases deployment MCP,navigation,Databases Deployment MCP Hub,https://www.mcpserver.in/categories/databases-deployment/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0060,https://www.mcpserver.in/categories/databases-troubleshooting/,/categories/databases-troubleshooting/,category-hub,databases,troubleshooting,Databases Troubleshooting,Databases troubleshooting MCP,navigation,Databases Troubleshooting MCP Hub,https://www.mcpserver.in/categories/databases-troubleshooting/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0061,https://www.mcpserver.in/categories/databases-templates/,/categories/databases-templates/,category-hub,databases,templates,Databases Templates,Databases templates MCP,navigation,Databases Templates MCP Hub,https://www.mcpserver.in/categories/databases-templates/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0062,https://www.mcpserver.in/categories/databases-examples/,/categories/databases-examples/,category-hub,databases,examples,Databases Examples,Databases examples MCP,navigation,Databases Examples MCP Hub,https://www.mcpserver.in/categories/databases-examples/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0063,https://www.mcpserver.in/categories/databases-comparisons/,/categories/databases-comparisons/,category-hub,databases,comparisons,Databases Comparisons,Databases comparisons MCP,navigation,Databases Comparisons MCP Hub,https://www.mcpserver.in/categories/databases-comparisons/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0064,https://www.mcpserver.in/categories/databases-clients/,/categories/databases-clients/,category-hub,databases,clients,Databases Clients,Databases clients MCP,navigation,Databases Clients MCP Hub,https://www.mcpserver.in/categories/databases-clients/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0065,https://www.mcpserver.in/categories/databases-sdk/,/categories/databases-sdk/,category-hub,databases,sdk,Databases SDK,Databases sdk MCP,navigation,Databases SDK MCP Hub,https://www.mcpserver.in/categories/databases-sdk/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0066,https://www.mcpserver.in/categories/databases-registry/,/categories/databases-registry/,category-hub,databases,registry,Databases Registry,Databases registry MCP,navigation,Databases Registry MCP Hub,https://www.mcpserver.in/categories/databases-registry/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0067,https://www.mcpserver.in/categories/databases-enterprise/,/categories/databases-enterprise/,category-hub,databases,enterprise,Databases Enterprise,Databases enterprise MCP,navigation,Databases Enterprise MCP Hub,https://www.mcpserver.in/categories/databases-enterprise/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0068,https://www.mcpserver.in/categories/databases-benchmarks/,/categories/databases-benchmarks/,category-hub,databases,benchmarks,Databases Benchmarks,Databases benchmarks MCP,navigation,Databases Benchmarks MCP Hub,https://www.mcpserver.in/categories/databases-benchmarks/,https://www.mcpserver.in/categories/databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,75,94,candidate,false,false
url-candidate-0069,https://www.mcpserver.in/categories/vector-databases-servers/,/categories/vector-databases-servers/,category-hub,vector-databases,servers,Vector Databases Servers,Vector Databases servers MCP,navigation,Vector Databases Servers MCP Hub,https://www.mcpserver.in/categories/vector-databases-servers/,https://www.mcpserver.in/categories/vector-databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,70,94,candidate,false,false
url-candidate-0070,https://www.mcpserver.in/categories/vector-databases-integrations/,/categories/vector-databases-integrations/,category-hub,vector-databases,integrations,Vector Databases Integrations,Vector Databases integrations MCP,navigation,Vector Databases Integrations MCP Hub,https://www.mcpserver.in/categories/vector-databases-integrations/,https://www.mcpserver.in/categories/vector-databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,70,94,candidate,false,false
url-candidate-0071,https://www.mcpserver.in/categories/vector-databases-tutorials/,/categories/vector-databases-tutorials/,category-hub,vector-databases,tutorials,Vector Databases Tutorials,Vector Databases tutorials MCP,navigation,Vector Databases Tutorials MCP Hub,https://www.mcpserver.in/categories/vector-databases-tutorials/,https://www.mcpserver.in/categories/vector-databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,70,94,candidate,false,false
url-candidate-0072,https://www.mcpserver.in/categories/vector-databases-security/,/categories/vector-databases-security/,category-hub,vector-databases,security,Vector Databases Security,Vector Databases security MCP,navigation,Vector Databases Security MCP Hub,https://www.mcpserver.in/categories/vector-databases-security/,https://www.mcpserver.in/categories/vector-databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,70,94,candidate,false,false
url-candidate-0073,https://www.mcpserver.in/categories/vector-databases-deployment/,/categories/vector-databases-deployment/,category-hub,vector-databases,deployment,Vector Databases Deployment,Vector Databases deployment MCP,navigation,Vector Databases Deployment MCP Hub,https://www.mcpserver.in/categories/vector-databases-deployment/,https://www.mcpserver.in/categories/vector-databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,70,94,candidate,false,false
url-candidate-0074,https://www.mcpserver.in/categories/vector-databases-troubleshooting/,/categories/vector-databases-troubleshooting/,category-hub,vector-databases,troubleshooting,Vector Databases Troubleshooting,Vector Databases troubleshooting MCP,navigation,Vector Databases Troubleshooting MCP Hub,https://www.mcpserver.in/categories/vector-databases-troubleshooting/,https://www.mcpserver.in/categories/vector-databases/,WebPage|BreadcrumbList|Organization|CollectionPage|ItemList,category-landing,P2,70,94,candidate,false,false
